REGIÃO ,PAÍS,CONSUMO DE PETRÓLEO em mil barris por dia,ANO
Europa,Noruega,209,6396699,2016
Europa,Polônia,593,9606335,2016
Europa,Portugal,233,761499,2016
Europa,Reino Unido,1596,842794,2016
Europa,República Tcheca,174,5954481,2016
Europa,Romênia,195,4642623,2016
Europa,Suécia,291,0872081,2016
Europa,Suíça,213,6213761,2016
Europa,Turquia,973,2164547,2016
Europa,Ucrânia,203,7016997,2016
Europa,Outros,327,3826105,2016
Comunidade dos Estados Independentes,Azerbaijão,97,8504038,2016
Comunidade dos Estados Independentes,Belarus,135,852563,2016
Comunidade dos Estados Independentes,Cazaquistão,305,3224546,2016
Comunidade dos Estados Independentes,Rússia,3219,156889,2016
Comunidade dos Estados Independentes,Turcomenistão,142,8918033,2016
Comunidade dos Estados Independentes,Uzbequistão,48,62046448,2016
Comunidade dos Estados Independentes,Outros,85,92975178,2016
Oriente Médio,Arábia Saudita,3874,80925,2016
Oriente Médio,Catar,347,0617226,2016
Oriente Médio,Coveite,482,3313242,2016
Oriente Médio,Emirados Árabes Unidos,1028,310489,2016
Oriente Médio,Irã,1764,489442,2016
Oriente Médio,Iraque,760,2674864,2016
Oriente Médio,Israel,230,4662383,2016
Oriente Médio,Omã,186,9304098,2016
Oriente Médio,Outros,515,9807258,2016
África,África do Sul,545,9134379,2016
África,África Central,255,4790655,2016
África,África Ocidental,627,3534294,2016
África,África Oriental,569,7448646,2016
África,Argélia,412,2228415,2016
África,Egito,856,8903518,2016
África,Marrocos,274,6529235,2016
África,Outros Norte da África,292,4072118,2016
África,Outros Sul da África,59,17237682,2016
Ásia-Pacífico,Austrália,991,9988754,2016
Ásia-Pacífico,Bangladesh,138,1885474,2016
Ásia-Pacífico,China,12248,25655,2016
Ásia-Pacífico,Cingapura,1371,957254,2016
Ásia-Pacífico,Coreia do Sul,2770,872787,2016
Ásia-Pacífico,Hong Kong,380,0856436,2016
Ásia-Pacífico,Filipinas,413,3536877,2016
Ásia-Pacífico,Índia,4631,808364,2016
Ásia-Pacífico,Indonésia,1572,259557,2016
Ásia-Pacífico,Japão,4006,218378,2016
Ásia-Pacífico,Malásia,838,8264595,2016
Ásia-Pacífico,Nova Zelândia,166,316294,2016
Ásia-Pacífico,Paquistão,566,0165003,2016
Ásia-Pacífico,Sri Lanka,105,1768097,2016
Ásia-Pacífico,Tailândia,1364,376883,2016
Ásia-Pacífico,Taiwan,1046,137399,2016
Ásia-Pacífico,Vietnã,470,1477927,2016
Ásia-Pacífico,Outros,436,5420345,2016
América do Norte,Canadá,2393,007348,2017
América do Norte,Estados Unidos,18883,3369,2017
América do Norte,México,1883,227421,2017
Américas Central e do Sul,Argentina,636,8671711,2017
Américas Central e do Sul,Brasil,2480,679458,2017
Américas Central e do Sul,Chile,363,7414539,2017
