REGIAO,PAIS,CONSUMO,CONSUMO_DECIMAL,ANO
Europa,Finlandia,203,7822907,2014
Europa,Franca,1543,329488,2014
Europa,Grecia,298,4939143,2014
Europa,Holanda,856,1299748,2014
Europa,Hungria,153,9795486,2014
Europa,Islandia,15,55845571,2014
Europa,Irlanda,138,1341687,2014
Europa,Italia,1179,948734,2014
Europa,Letonia,33,64555852,2014
Europa,Lituania,51,01497534,2014
Europa,Luxemburgo,55,0814366,2014
Europa,Macedonia,18,5494126,2014
Europa,Noruega,214,2434412,2014
Europa,Polonia,520,8728011,2014
Europa,Portugal,235,1580715,2014
Europa,Reino Unido,1505,805609,2014
Europa,Republica Tcheca,194,1532377,2014
Europa,Romenia,183,5061644,2014
Europa,Suecia,285,8073561,2014
Europa,Suica,223,6238178,2014
Europa,Turquia,770,9878904,2014
Europa,Ucrania,219,1876138,2014
Europa,Outros,296,5669992,2014
Comunidade dos Estados Independentes,Azerbaijao,99,29695906,2014
Comunidade dos Estados Independentes,Belarus,162,8169918,2014
Comunidade dos Estados Independentes,Cazaquistao,261,8903567,2014
Comunidade dos Estados Independentes,Russia,3297,778302,2014
Comunidade dos Estados Independentes,Turcomenistao,143,2779452,2014
Comunidade dos Estados Independentes,Uzbequistao,56,63473973,2014
Comunidade dos Estados Independentes,Outros,75,64571083,2014
Oriente Medio,Arabia Saudita,3764,052566,2014
Oriente Medio,Catar,293,9001598,2014
Oriente Medio,Coveite,455,2090294,2014
Oriente Medio,Emirados Arabes Unidos,879,6896058,2014
Oriente Medio,Ira,1901,193938,2014
Oriente Medio,Iraque,681,2867854,2014
Oriente Medio,Israel,213,6297627,2014
Oriente Medio,Oma,184,6824658,2014
Oriente Medio,Outros,619,4137304,2014
Africa,Africa do Sul,554,6232261,2014
Africa,Africa Central,273,249796,2014
Africa,Africa Ocidental,551,9247843,2014
Africa,Africa Oriental,501,1922018,2014
Africa,Argelia,400,6059452,2014
Africa,Egito,806,3996569,2014
Africa,Marrocos,271,8501373,2014
Africa,Outros Norte da Africa,357,4053671,2014
Africa,Outros Sul da Africa,55,38835765,2014
Asia-Pacifico,Australia,1020,678503,2014
Asia-Pacifico,Bangladesh,120,3981055,2014
Asia-Pacifico,China,11134,18273,2014
Asia-Pacifico,Cingapura,1258,953364,2014
Asia-Pacifico,Coreia do Sul,2454,287233,2014
Asia-Pacifico,Hong Kong,335,7252432,2014
Asia-Pacifico,Filipinas,335,8139934,2014
Asia-Pacifico,India,3905,903796,2014
